Date,Geography,Lbour_force_characteristics,Industry,Sex,Age,UOM,Scalar_factor,Valuee,Value
2018-10-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,3.9,96.1
2018-11-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,7.6,92.4
2018-11-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,3.2,96.8
2018-11-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,4.8,95.2
2018-11-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,11.3,88.7
2018-11-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,3.3,96.7
2018-11-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,6,94
2018-12-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,9.1,90.9
2018-12-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,4.5,95.5
2018-12-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,4.7,95.3
2018-12-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,10.8,89.2
2018-12-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,4.7,95.3
2018-12-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,5.1,94.9
2019-01-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,14.7,85.3
2019-01-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,6.9,93.1
2019-01-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,5.7,94.3
2019-01-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,9.5,90.5
2019-01-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,5.6,94.4
2019-01-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,6.3,93.7
2019-02-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,14.2,85.8
2019-02-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,6.4,93.6
2019-02-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,6.8,93.2
2019-02-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,11.1,88.9
2019-02-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,4.7,95.3
2019-02-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,5.8,94.2
2019-03-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,13.6,86.4
2019-03-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,6.4,93.6
2019-03-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,6.7,93.3
2019-03-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,5.1,94.9
2019-03-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,4.5,95.5
2019-03-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,5.5,94.5
2019-04-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,12.2,87.8
2019-04-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,6.5,93.5
2019-04-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,6.6,93.4
2019-04-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,9.6,90.4
2019-04-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,3.9,96.1
2019-04-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,4.8,95.2
2019-05-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,8.9,91.1
2019-05-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,4.6,95.4
2019-05-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,4.8,95.2
2019-05-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,12.6,87.4
2019-05-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,2.3,97.7
2019-05-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,3.4,96.6
2019-06-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,6.3,93.7
2019-06-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,4,96
2019-06-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,3.9,96.1
2019-06-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,7.5,92.5
2019-06-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,2.7,97.3
2019-06-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,3.9,96.1
2019-07-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,6.2,93.8
2019-07-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,3.8,96.2
2019-07-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,4.2,95.8
2019-07-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,6.9,93.1
2019-07-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,4,96
2019-07-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,2.7,97.3
2019-08-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,6.1,93.9
2019-08-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,3.9,96.1
2019-08-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,3.8,96.2
2019-08-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,4,96
2019-08-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,3,97
2019-08-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,3.9,96.1
2019-09-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,7.2,92.8
2019-09-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,3.2,96.8
2019-09-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,3,97
2019-09-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,11.5,88.5
2019-09-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,2.5,97.5
2019-09-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,3.7,96.3
2019-10-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,8.9,91.1
2019-10-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,3.6,96.4
2019-10-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,3.8,96.2
2019-10-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,9.6,90.4
2019-10-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,3.6,96.4
2019-10-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,4.9,95.1
2019-11-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,9,91
2019-11-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,4.7,95.3
2019-11-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,4.5,95.5
2019-11-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,8.7,91.3
2019-11-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,4,96
2019-11-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,4,96
2019-12-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,9.8,90.2
2019-12-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,4.9,95.1
2019-12-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,5.6,94.4
2019-12-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,6.9,93.1
2019-12-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,4.1,95.9
2019-12-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,4.2,95.8
2020-01-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,12.2,87.8
2020-01-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,6.7,93.3
2020-01-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,6.9,93.1
2020-01-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,9,91
2020-01-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,5.6,94.4
2020-01-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,4.2,95.8
2020-02-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,12.8,87.2
2020-02-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,5.7,94.3
2020-02-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,7.5,92.5
2020-02-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,6.8,93.2
2020-02-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,4.4,95.6
2020-02-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,5.8,94.2
2020-03-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,12.5,87.5
2020-03-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,6.8,93.2
2020-03-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,8.2,91.8
2020-03-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,13.3,86.7
2020-03-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,5.7,94.3
2020-03-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,7.7,92.3
2020-04-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,27.7,72.3
2020-04-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,15.7,84.3
2020-04-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,16.3,83.7
2020-04-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,24.7,75.3
2020-04-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,13.9,86.1
2020-04-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,12.3,87.7
2020-05-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,22,78
2020-05-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,12.1,87.9
2020-05-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,10.5,89.5
2020-05-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,20.4,79.6
2020-05-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,12.3,87.7
2020-05-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,11.1,88.9
2020-06-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,13.8,86.2
2020-06-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,9,91
2020-06-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,7,93
2020-06-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,16.1,83.9
2020-06-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,10.2,89.8
2020-06-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,10.3,89.7
2020-07-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,12.6,87.4
2020-07-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,7.3,92.7
2020-07-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,6.2,93.8
2020-07-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,9.3,90.7
2020-07-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,7.8,92.2
2020-07-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,5.5,94.5
2020-08-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,12.3,87.7
2020-08-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,5.6,94.4
2020-08-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,7.4,92.6
2020-08-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,7.5,92.5
2020-08-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,5.3,94.7
2020-08-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,6.3,93.7
2020-09-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,8.6,91.4
2020-09-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,4.8,95.2
2020-09-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,5.7,94.3
2020-09-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,17.2,82.8
2020-09-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,4,96
2020-09-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,6,94
2020-10-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,10.1,89.9
2020-10-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,4.8,95.2
2020-10-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,7,93
2020-10-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,10.3,89.7
2020-10-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,4.7,95.3
2020-10-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,7,93
2020-11-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,8.4,91.6
2020-11-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,5.6,94.4
2020-11-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,5.9,94.1
2020-11-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,11.3,88.7
2020-11-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,5.4,94.6
2020-11-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,6.9,93.1
2020-12-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,10.5,89.5
2020-12-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,7,93
2020-12-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,6.6,93.4
2020-12-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,5.9,94.1
2020-12-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,4,96
2020-12-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,5.8,94.2
2021-01-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,14,86
2021-01-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,8.7,91.3
2021-01-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,8,92
2021-01-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,16.4,83.6
2021-01-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,7.3,92.7
2021-01-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,6.6,93.4
